Column1,reform,district,population,child_population,young_child_population,metric_name,metric_value,mappable_measures.current|new|change,mappable_measures.demog,mappable_measures.pov|deep_pov,monthly_benefit,target_demog
181,"Young Children 200","001",114170.96362899712,21238.114213837565,5578.4352729718958,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
181,"Young Children 200","001",114170.96362899712,21238.114213837565,5578.4352729718958,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
182,"Young Children 200","013",148745.83789038018,36389.271209665174,9943.9343175790709,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
182,"Young Children 200","013",148745.83789038018,36389.271209665174,9943.9343175790709,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
183,"Young Children 200","031",145270.88316427977,32619.544246425525,9982.382059260528,"total_pov_change",0,"change in","total","pov","200","Young Children"
183,"Young Children 200","031",145270.88316427977,32619.544246425525,9982.382059260528,"child_pov_change",0,"change in","child","pov","200","Young Children"
183,"Young Children 200","031",145270.88316427977,32619.544246425525,9982.382059260528,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
183,"Young Children 200","031",145270.88316427977,32619.544246425525,9982.382059260528,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
183,"Young Children 200","031",145270.88316427977,32619.544246425525,9982.382059260528,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
184,"Young Children 200","032",156224.75947178405,34893.134200191911,9381.8869534363148,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
184,"Young Children 200","032",156224.75947178405,34893.134200191911,9381.8869534363148,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
186,"Young Children 200","025",126097.64789268172,26867.999196267705,6875.9303363584777,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
186,"Young Children 200","025",126097.64789268172,26867.999196267705,6875.9303363584777,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
187,"Young Children 200","026",127742.05797427213,24824.052780939528,6997.0551868390212,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
187,"Young Children 200","026",127742.05797427213,24824.052780939528,6997.0551868390212,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
189,"Young Children 200","002",133897.03637100285,29704.885786162435,7834.5647270281042,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
189,"Young Children 200","002",133897.03637100285,29704.885786162435,7834.5647270281042,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
191,"Young Children 200","043",111884.09461572432,21848.458460065282,6911.1266498892,"total_pov_change",0,"change in","total","pov","200","Young Children"
191,"Young Children 200","043",111884.09461572432,21848.458460065282,6911.1266498892,"child_pov_change",0,"change in","child","pov","200","Young Children"
191,"Young Children 200","043",111884.09461572432,21848.458460065282,6911.1266498892,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
191,"Young Children 200","043",111884.09461572432,21848.458460065282,6911.1266498892,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
191,"Young Children 200","043",111884.09461572432,21848.458460065282,6911.1266498892,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
192,"Young Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"total_pov_change",0,"change in","total","pov","200","Young Children"
192,"Young Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"child_pov_change",0,"change in","child","pov","200","Young Children"
192,"Young Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
192,"Young Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
192,"Young Children 200","030",133756.55459118503,28419.482580628835,8782.2842459048043,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
193,"Young Children 200","033",145629.0160642016,33012.007005937645,8479.4744565959336,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
193,"Young Children 200","033",145629.0160642016,33012.007005937645,8479.4744565959336,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
194,"Young Children 200","028",153445.79015279879,36302.886635973045,8134.7281513871967,"total_pov_change",0,"change in","total","pov","200","Young Children"
194,"Young Children 200","028",153445.79015279879,36302.886635973045,8134.7281513871967,"child_pov_change",0,"change in","child","pov","200","Young Children"
194,"Young Children 200","028",153445.79015279879,36302.886635973045,8134.7281513871967,"young_child_pov_change",0,"change in","young_child","pov","200","Young Children"
194,"Young Children 200","028",153445.79015279879,36302.886635973045,8134.7281513871967,"total_deep_pov_change",0,"change in","total","deep_pov","200","Young Children"
194,"Young Children 200","028",153445.79015279879,36302.886635973045,8134.7281513871967,"child_deep_pov_change",0,"change in","child","deep_pov","200","Young Children"
1,"All Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"young_child_deep_pov_change",0,"change in","young_child","deep_pov","100","All Children"
